,Chucky,Hammer,Katze,Kreatur,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
Chucky_40,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_41,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_42,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_43,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_44,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_45,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_46,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_47,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_48,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_49,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_50,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_51,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_52,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_53,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_54,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_55,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_56,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_57,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_58,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_59,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_60,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_61,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_62,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_63,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_64,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_65,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_66,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_67,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_68,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_69,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_70,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_71,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_72,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_73,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_74,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_75,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_76,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_77,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_78,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_79,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_80,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
